id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
203,Patti Mclaughlin,133-567-005,06-07-2019,44700,59115,24706,05,39,0,2,24438.602,18311.342,0,575,34600,0,6.77,196744
204,Jeanne Quinn,141-076-742,05-05-2019,44600,58983,27150,01,40,0,3,52296.527,10877.231,0,654,39700,24700,6.21,196597
205,April Wallace,675-163-246,01-02-2019,42700,56470,56470,02,47,1,2,44637.875,64417.617,1,681,54500,0,7.8600001,199460
206,Silvia Fitzgerald,503-409-775,08-01-2019,41200,54486,54486,01,41,1,3,23965.797,2902.2954,1,570,45700,0,6.3000002,182816
207,Rafael Dennis,875-802-321,07-03-2019,48500,64141,64141,05,34,1,3,73890.602,74992.453,0,695,34000,96800,6.3200002,193826
208,Garry Martin,520-501-736,05-02-2019,42100,55677,26907,05,26,1,2,39179.805,48266.91,3,553,49600,42100,6.4099998,193053
209,Kristopher Alexander,497-843-593,07-02-2019,43200,57131,34517,03,39,1,1,52381.918,35552.848,1,685,44400,190100,6.71,190734
210,Sheila Cook,464-612-952,06-03-2019,45500,60173,20677,02,38,0,1,17063.381,14741.666,0,536,45700,0,6.4200001,182996
211,Rose Sandoval,521-964-037,04-04-2019,42100,55677,55677,03,35,0,1,23665.26,31641.387,0,543,51500,0,6.4299998,201278
212,Jessie Greene,007-958-517,07-01-2019,42000,55544,55544,01,31,0,2,33586.438,40462.176,0,577,48900,26700,6.6799998,192683
213,Victor Holloway,417-029-433,05-05-2019,42400,56073,22418,03,33,0,3,26308.754,26183.93,0,543,30000,144200,6.3899999,214104
214,Dawn Franklin,181-573-478,01-05-2019,42600,56338,56338,04,33,1,1,45469.539,84755.492,1,636,52200,0,7.6199999,193148
215,Ross Jordan,360-764-777,06-04-2019,50000,66124,66124,05,33,1,2,76335.078,79130.469,3,697,54200,0,6.54,179409
216,Norman Thornton,557-041-559,02-01-2019,41900,55412,21263,03,37,0,2,30606.199,59617.855,0,582,49800,12700,7.1300001,198776
217,Jaime Stanley,091-013-104,04-03-2019,43100,56999,56999,03,29,0,2,50514.691,24889.686,0,595,48800,55000,6.2600002,213141
218,Wilfred Hodges,944-426-245,04-02-2019,44900,59380,59380,02,35,1,2,60771.418,76548.438,3,764,50700,0,6.25,185154
219,Nathan Berry,523-497-177,04-04-2019,44100,58322,35923,04,35,1,2,58829.027,70157.234,0,674,37400,14600,6.6199999,185775
220,Derek Cummings,704-706-986,04-03-2019,42500,56206,56206,03,30,0,2,44642.086,44644.727,0,585,67900,0,6.4699998,170902
221,Kim Kelly,418-726-287,05-05-2019,44200,58454,19745,01,35,1,2,17574.588,21177.236,3,524,31800,3400,5.8899999,195285
222,Javier Keller,162-591-290,09-06-2019,42100,55677,55677,04,39,0,2,32236.357,26922.439,0,613,38600,0,6.1599998,211486
223,Daisy Murray,122-605-204,04-01-2019,41800,55280,28093,02,44,1,2,31746.473,42143.176,3,654,54600,0,6.5799999,214730
224,Archie Moody,640-484-261,04-04-2019,44500,58851,33822,02,40,0,3,54758.332,74502.273,0,729,50400,0,6.6700001,204566
225,Edith Riley,285-563-937,07-04-2019,41600,55015,55015,04,33,0,1,26666.094,37002.352,0,569,33100,50900,6.75,216683
226,Christy Rios,498-187-198,05-02-2019,49700,65728,65728,04,30,1,2,88353.766,89597.914,0,651,48400,66700,6.1900001,189780
227,Karla Ryan,889-156-668,08-05-2019,45600,60305,31902,05,42,0,2,64057.449,52211.809,0,711,53300,46100,6.5999999,181230
228,Maxine Bennett,054-318-139,06-06-2019,42000,55544,55544,03,28,1,1,27198.975,15202.854,1,563,39800,161600,7,189950
229,David Swanson,706-961-626,03-03-2019,47200,62421,11633,02,33,0,3,5674.334,11828.619,0,458,44700,63400,7.4899998,207456
230,Virginia Love,578-075-874,06-01-2019,50600,66918,26247,02,31,1,3,1327.059,35139.703,2,534,30300,0,6.8099999,191279
231,Patsy Howard,717-433-104,07-06-2019,44300,58586,18247,05,43,1,3,18383.695,21170.891,2,570,49600,0,6.6599998,183534
232,Lorraine Brown,585-669-249,07-01-2019,43300,57264,57264,04,36,0,2,53453.547,13731.905,0,692,43800,0,6.7800002,174419
233,Alejandro Baldwin,182-945-908,04-05-2019,42100,55677,55677,02,34,1,2,37805.926,57749.461,1,616,36900,0,6.5900002,184696
234,Hubert Cole,928-901-543,05-01-2019,52200,69034,11202,04,44,1,3,1458.126,0,3,489,37300,83100,5.9099998,213897
235,Rosemarie Phelps,045-265-978,07-05-2019,49500,65463,47216,01,42,1,2,77294.961,75415.531,0,807,49500,0,7.0300002,203477
236,Josephine Mullins,666-654-149,05-05-2019,45800,60570,60570,04,33,1,2,63290.188,63812.121,0,618,49700,0,6.02,204790
237,Johnathan Sherman,807-279-491,05-01-2019,43200,57131,57131,03,34,1,2,51030.379,64598.078,2,601,50300,196100,6.3899999,201935
238,Max Sparks,092-781-753,04-06-2019,43300,57264,57264,05,24,1,2,57501.348,53430.379,1,559,44800,132800,6.29,190178
239,Russell Gilbert,426-890-742,09-04-2019,47000,62157,62157,03,40,0,2,63597.727,65110.605,0,716,36600,0,6.0799999,183888
240,Alicia Reynolds,452-941-531,11-07-2019,42200,55809,31720,04,32,1,3,40563.316,40102.84,3,615,40500,28200,6.1500001,200465
241,Sheldon Bryant,479-131-017,08-04-2019,43000,56867,56867,04,36,1,2,26902.924,40845.035,1,580,56700,0,6.3600001,187690
242,Billy Walsh,894-274-797,05-03-2019,42000,55544,55544,02,37,1,2,29707.791,53355.836,1,602,42100,72600,5.9899998,191559
243,Elvira Lee,413-472-677,10-04-2019,42400,56073,20521,05,37,1,2,31508.871,33138.109,1,588,39600,0,6.0700002,215800
244,Clay Cobb,876-129-088,01-02-2019,42400,56073,56073,02,31,1,2,42502.359,40687.859,1,596,49000,0,7.4499998,175748
245,Sophie Lopez,480-745-547,04-04-2019,43200,57131,18710,05,38,1,2,24927.07,34668.555,1,569,36600,0,6.1300001,161271
246,Tony Clark,417-824-375,09-01-2019,43300,57264,34295,01,47,1,2,48584.066,27549.93,0,748,39100,88500,6.21,204501
247,Katherine Rose,720-987-359,02-03-2019,42400,56073,56073,05,33,0,2,45100.906,68743.461,0,621,46500,61700,7.3000002,224411
248,Sharon Harvey,955-550-381,06-04-2019,42600,56338,56338,03,38,0,2,26338.354,27437.975,0,565,52600,0,6.6399999,189612
249,Wesley Maldonado,689-903-998,10-06-2019,79900,105667,105667,03,34,1,2,0,0,2,477,60100,142000,5.9899998,182616
250,Jaime Vasquez,654-179-442,07-04-2019,42200,55809,21614,03,34,1,3,30546.924,22455.295,3,594,59500,0,6.7199998,185166
