id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice,type
189,Luther Barnes,826-650-033,05-02-2019,44000,58189,58189,04,42,1,2,55960.508,65400.363,1,716,45100,0,5.6900001,195233,57.853848
190,Alberto Tucker,311-398-086,06-05-2019,60500,80011,69690,04,28,0,2,92638.109,83676.906,0,759,43300,0,6.8099999,183532,82.915154
191,Tina Pierce,507-004-293,05-01-2019,50200,66389,14739,02,34,0,3,0,840.48157,0,445,34300,0,6.1700001,196001,21.124458
192,Victor Perry,469-854-770,06-05-2019,44100,58322,38248,05,41,1,3,72250.359,66256.578,2,740,42900,5200,6.9299998,189744,68.36776
193,Katrina Abbott,421-159-750,06-03-2019,43400,57396,28216,03,31,1,2,52956.746,68540.219,0,624,50200,25400,6.6599998,178157,56.702778
194,Harry Logan,403-555-451,01-06-2019,42800,56602,56602,02,34,1,2,46441.949,45907.121,2,609,45200,62000,7.4899998,215148,52.746902
195,Ashley Hubbard,854-004-624,05-03-2019,44300,58586,44572,04,24,1,3,76057,64818.676,1,660,47300,166500,6.1199999,203324,71.125801
196,Alicia Watkins,920-971-555,02-04-2019,42100,55677,55677,02,29,1,2,36953.629,33819.938,0,583,46600,158400,7.3899999,175309,46.876633
197,Shirley Frazier,034-346-158,06-05-2019,42600,56338,33259,05,35,1,2,47162.875,45310.348,0,584,36500,0,6.6700001,170738,51.68182
198,Sonia Mcguire,306-711-237,06-02-2019,43900,58057,58057,04,34,1,2,54189.699,57486.191,1,694,22400,0,7,185584,56.466164
199,Caroline Mckinney,953-699-458,03-01-2019,44200,58454,30565,04,34,0,2,59794.078,70083.797,0,645,35800,40900,6.9699998,175033,60.643826
200,Marlon Gilbert,604-451-899,05-01-2019,43200,57131,30610,05,34,1,2,52469.113,41703.738,0,618,38800,108500,6.4099998,189514,55.100185
201,Shawn Norton,043-811-009,05-05-2019,44900,59380,59380,02,36,0,2,61139.527,65782.438,0,687,57800,44100,6.25,177330,62.697945
202,Wendell Figueroa,392-327-787,06-01-2019,51800,68505,68505,05,31,1,2,6268.9268,18153.977,2,463,27900,97500,6.98,150040,23.80534
203,Patti Mclaughlin,133-567-005,06-07-2019,44700,59115,24706,05,39,0,2,24438.602,18311.342,0,575,34600,0,6.77,196744,36.400097
204,Jeanne Quinn,141-076-742,05-05-2019,44600,58983,27150,01,40,0,3,52296.527,10877.231,0,654,39700,24700,6.21,196597,57.532738
205,April Wallace,675-163-246,01-02-2019,42700,56470,56470,02,47,1,2,44637.875,64417.617,1,681,54500,0,7.8600001,199460,51.878147
206,Silvia Fitzgerald,503-409-775,08-01-2019,41200,54486,54486,01,41,1,3,23965.797,2902.2954,1,570,45700,0,6.3000002,182816,38.816849
207,Rafael Dennis,875-802-321,07-03-2019,48500,64141,64141,05,34,1,3,73890.602,74992.453,0,695,34000,96800,6.3200002,193826,68.798157
208,Garry Martin,520-501-736,05-02-2019,42100,55677,26907,05,26,1,2,39179.805,48266.91,3,553,49600,42100,6.4099998,193053,46.116421
209,Kristopher Alexander,497-843-593,07-02-2019,43200,57131,34517,03,39,1,1,52381.918,35552.848,1,685,44400,190100,6.71,190734,56.117523
210,Sheila Cook,464-612-952,06-03-2019,45500,60173,20677,02,38,0,1,17063.381,14741.666,0,536,45700,0,6.4200001,182996,33.552795
211,Rose Sandoval,521-964-037,04-04-2019,42100,55677,55677,03,35,0,1,23665.26,31641.387,0,543,51500,0,6.4299998,201278,36.824181
212,Jessie Greene,007-958-517,07-01-2019,42000,55544,55544,01,31,0,2,33586.438,40462.176,0,577,48900,26700,6.6799998,192683,44.905476
213,Victor Holloway,417-029-433,05-05-2019,42400,56073,22418,03,33,0,3,26308.754,26183.93,0,543,30000,144200,6.3899999,214104,38.725231
214,Dawn Franklin,181-573-478,01-05-2019,42600,56338,56338,04,33,1,1,45469.539,84755.492,1,636,52200,0,7.6199999,193148,51.056503
215,Ross Jordan,360-764-777,06-04-2019,50000,66124,66124,05,33,1,2,76335.078,79130.469,3,697,54200,0,6.54,179409,71.017616
216,Norman Thornton,557-041-559,02-01-2019,41900,55412,21263,03,37,0,2,30606.199,59617.855,0,582,49800,12700,7.1300001,198776,41.832264
217,Jaime Stanley,091-013-104,04-03-2019,43100,56999,56999,03,29,0,2,50514.691,24889.686,0,595,48800,55000,6.2600002,213141,54.765217
218,Wilfred Hodges,944-426-245,04-02-2019,44900,59380,59380,02,35,1,2,60771.418,76548.438,3,764,50700,0,6.25,185154,62.639847
219,Nathan Berry,523-497-177,04-04-2019,44100,58322,35923,04,35,1,2,58829.027,70157.234,0,674,37400,14600,6.6199999,185775,59.96294
220,Derek Cummings,704-706-986,04-03-2019,42500,56206,56206,03,30,0,2,44642.086,44644.727,0,585,67900,0,6.4699998,170902,50.670467
221,Kim Kelly,418-726-287,05-05-2019,44200,58454,19745,01,35,1,2,17574.588,21177.236,3,524,31800,3400,5.8899999,195285,34.136871
222,Javier Keller,162-591-290,09-06-2019,42100,55677,55677,04,39,0,2,32236.357,26922.439,0,613,38600,0,6.1599998,211486,42.205479
223,Daisy Murray,122-605-204,04-01-2019,41800,55280,28093,02,44,1,2,31746.473,42143.176,3,654,54600,0,6.5799999,214730,43.21146
224,Archie Moody,640-484-261,04-04-2019,44500,58851,33822,02,40,0,3,54758.332,74502.273,0,729,50400,0,6.6700001,204566,58.596802
225,Edith Riley,285-563-937,07-04-2019,41600,55015,55015,04,33,0,1,26666.094,37002.352,0,569,33100,50900,6.75,216683,38.14146
226,Christy Rios,498-187-198,05-02-2019,49700,65728,65728,04,30,1,2,88353.766,89597.914,0,651,48400,66700,6.1900001,189780,79.801071
227,Karla Ryan,889-156-668,08-05-2019,45600,60305,31902,05,42,0,2,64057.449,52211.809,0,711,53300,46100,6.5999999,181230,62.712215
228,Maxine Bennett,054-318-139,06-06-2019,42000,55544,55544,03,28,1,1,27198.975,15202.854,1,563,39800,161600,7,189950,39.593521
229,David Swanson,706-961-626,03-03-2019,47200,62421,11633,02,33,0,3,5674.334,11828.619,0,458,44700,63400,7.4899998,207456,25.796549
230,Virginia Love,578-075-874,06-01-2019,50600,66918,26247,02,31,1,3,1327.059,35139.703,2,534,30300,0,6.8099999,191279,22.613806
231,Patsy Howard,717-433-104,07-06-2019,44300,58586,18247,05,43,1,3,18383.695,21170.891,2,570,49600,0,6.6599998,183534,32.320896
232,Lorraine Brown,585-669-249,07-01-2019,43300,57264,57264,04,36,0,2,53453.547,13731.905,0,692,43800,0,6.7800002,174419,56.265957
233,Alejandro Baldwin,182-945-908,04-05-2019,42100,55677,55677,02,34,1,2,37805.926,57749.461,1,616,36900,0,6.5900002,184696,46.956841
234,Hubert Cole,928-901-543,05-01-2019,52200,69034,11202,04,44,1,3,1458.126,0,3,489,37300,83100,5.9099998,213897,22.048258
235,Rosemarie Phelps,045-265-978,07-05-2019,49500,65463,47216,01,42,1,2,77294.961,75415.531,0,807,49500,0,7.0300002,203477,74.109993
236,Josephine Mullins,666-654-149,05-05-2019,45800,60570,60570,04,33,1,2,63290.188,63812.121,0,618,49700,0,6.02,204790,63.080429
237,Johnathan Sherman,807-279-491,05-01-2019,43200,57131,57131,03,34,1,2,51030.379,64598.078,2,601,50300,196100,6.3899999,201935,54.959675
238,Max Sparks,092-781-753,04-06-2019,43300,57264,57264,05,24,1,2,57501.348,53430.379,1,559,44800,132800,6.29,190178,58.435509
239,Russell Gilbert,426-890-742,09-04-2019,47000,62157,62157,03,40,0,2,63597.727,65110.605,0,716,36600,0,6.0799999,183888,63.86203
240,Alicia Reynolds,452-941-531,11-07-2019,42200,55809,31720,04,32,1,3,40563.316,40102.84,3,615,40500,28200,6.1500001,200465,47.53001
241,Sheldon Bryant,479-131-017,08-04-2019,43000,56867,56867,04,36,1,2,26902.924,40845.035,1,580,56700,0,6.3600001,187690,38.334221
242,Billy Walsh,894-274-797,05-03-2019,42000,55544,55544,02,37,1,2,29707.791,53355.836,1,602,42100,72600,5.9899998,191559,41.719456
243,Elvira Lee,413-472-677,10-04-2019,42400,56073,20521,05,37,1,2,31508.871,33138.109,1,588,39600,0,6.0700002,215800,41.256416
244,Clay Cobb,876-129-088,01-02-2019,42400,56073,56073,02,31,1,2,42502.359,40687.859,1,596,49000,0,7.4499998,175748,49.895897
245,Sophie Lopez,480-745-547,04-04-2019,43200,57131,18710,05,38,1,2,24927.07,34668.555,1,569,36600,0,6.1300001,161271,36.765484
246,Tony Clark,417-824-375,09-01-2019,43300,57264,34295,01,47,1,2,48584.066,27549.93,0,748,39100,88500,6.21,204501,55.238537
247,Katherine Rose,720-987-359,02-03-2019,42400,56073,56073,05,33,0,2,45100.906,68743.461,0,621,46500,61700,7.3000002,224411,50.241257
248,Sharon Harvey,955-550-381,06-04-2019,42600,56338,56338,03,38,0,2,26338.354,27437.975,0,565,52600,0,6.6399999,189612,38.390205
249,Wesley Maldonado,689-903-998,10-06-2019,79900,105667,105667,03,34,1,2,0,0,2,477,60100,142000,5.9899998,182616,12.422279
250,Jaime Vasquez,654-179-442,07-04-2019,42200,55809,21614,03,34,1,3,30546.924,22455.295,3,594,59500,0,6.7199998,185166,41.567471
251,Jim Roy,700-960-853,05-06-2020,43700,57793,27418,03,31,1,3,53954.027,54676.934,3,605,37000,0,6.0100002,184626,57.349796
252,Freddie Reeves,648-651-712,05-05-2020,42800,56602,36056,03,35,0,2,46947.348,52939.609,0,634,39300,0,6.1599998,189043,52.667103
253,Lucille Warner,145-585-337,07-02-2020,42200,55809,55809,03,34,1,2,37738.785,53086.07,0,623,48400,0,6.25,164250,46.763779
254,Jodi Morrison,224-590-295,03-02-2020,45100,59644,59644,02,30,1,2,95167.359,106289.65,2,728,49300,88700,7.0599999,191967,85.575706
255,Beverly Lynch,211-935-888,04-06-2020,43000,56867,56867,04,30,0,2,49900.703,48237.441,0,591,47300,47300,6.8200002,183447,53.949509
256,Jo Norman,521-536-732,07-04-2020,42200,55809,55809,04,41,0,2,40437.246,68085.57,0,652,37400,0,6.5500002,169208,47.807152
257,Mike Simon,141-837-535,05-04-2020,43400,57396,28425,04,35,0,2,54492.594,63865.836,0,636,49700,41900,6.3200002,181565,57.055912
258,Rex Nichols,342-470-441,08-04-2020,44100,58322,43291,03,37,0,3,62525.27,63471.738,0,722,49400,0,6.1900001,189303,62.751762
259,Betty Harrington,072-838-082,05-05-2020,45000,59512,41254,04,31,0,2,65468.371,81084.195,0,698,25400,153300,6.2600002,174559,64.30024
260,Bradley Pratt,657-321-470,06-05-2020,46600,61628,13317,02,36,0,2,8839.5684,34765.211,0,480,38700,63600,6.6399999,193208,27.598534
261,Eric Casey,832-167-992,05-05-2020,42100,55677,21240,04,37,1,2,35492.34,31107.131,1,612,52000,38400,6.3600001,205033,44.614582
262,Alexandra Underwood,587-074-671,05-04-2020,41800,55280,55280,04,29,0,2,29960.387,35150.184,0,580,27600,0,6.3600001,175707,40.603714
263,Felix Webster,465-988-770,05-01-2020,42700,56470,56470,03,34,1,2,45635.156,31008.547,2,663,45500,0,5.96,204852,51.747482
264,Moses Young,116-108-076,04-03-2020,42700,56470,24496,05,36,1,2,48336.465,76154.703,0,588,48100,0,6.5799999,193176,52.25275
265,Lillie Conner,367-848-329,09-07-2020,50100,66257,66257,04,32,1,2,13214.044,23353.377,0,458,47200,0,5.9299998,178309,29.216845
266,Abraham Malone,369-200-220,08-06-2020,42200,55809,55809,02,42,1,2,28800.434,21840.059,0,604,37700,414600,6.1799998,183456,40.968433
267,Dwight Johnson,151-851-545,03-06-2020,42300,55941,55941,03,29,0,2,41631.871,46208.156,0,595,44000,0,6.8400002,175852,49.016792
268,Mamie Dawson,871-725-478,05-03-2020,42600,56338,18803,04,46,0,2,22400.676,32787.918,0,597,60700,0,5.9400001,218660,35.682175
269,Jesse Oliver,221-734-785,05-05-2020,40900,54090,54090,03,45,1,2,18047,9388.832,2,599,28400,0,6,193379,33.168777
270,Connie Nelson,173-527-776,07-03-2020,42500,56206,56206,03,24,0,3,27766.805,41805.914,0,524,48700,0,6.4299998,183152,40.148155
271,Nina Lamb,300-503-440,03-04-2020,61200,80936,80936,03,38,0,2,96547.305,96704.82,0,857,49300,110500,6.9200001,182336,85.857666
272,Cameron Lawrence,651-731-558,07-07-2020,41200,54486,54486,02,42,1,2,26810.146,12080.277,1,601,54800,54600,6.4899998,184893,39.725475
273,Ruben Hunt,925-791-406,05-01-2020,42200,55809,18772,02,23,1,2,38655.875,25494.371,2,522,33200,0,6.1900001,197857,47.569496
274,Dewey Scott,250-006-740,08-03-2020,44900,59380,16088,05,35,1,2,19054.361,10964.85,2,523,36600,60600,6.3000002,193490,32.768429
275,Louise Rivera,881-849-727,04-05-2020,42100,55677,27991,01,31,0,2,34777.816,21395.217,0,574,37300,0,6.1999998,199741,45.9548
276,Toni Schultz,769-079-072,05-01-2020,53400,70621,70621,01,33,1,2,79411.461,75129.5,1,734,67300,0,6.1700001,181801,75.673584
277,Lawrence Thompson,243-529-110,06-05-2020,42800,56602,34739,04,36,1,2,48701.477,52457.207,2,652,57000,76100,6.48,200906,53.405025
278,Miranda Arnold,072-354-406,07-02-2020,42200,55809,17314,01,36,0,3,25672.445,34943.539,0,568,53100,0,6.71,196275,40.01516
279,Randy Douglas,370-066-697,05-04-2020,43000,56867,33750,01,27,0,1,49376.586,40030.313,0,639,52600,17200,6.1799998,205900,55.309631
280,Bernice Peterson,617-322-376,06-02-2020,45900,60702,60702,02,34,1,2,72031.945,66247.055,2,673,34000,112400,6.96,200244,69.909813
281,Angel Carr,127-419-019,07-04-2020,44700,59115,59115,01,34,1,2,57126.121,47214.164,2,606,51900,0,6.5100002,192690,60.622158
282,Glenn Kelley,107-199-544,06-04-2020,52400,69298,69298,03,35,1,2,2828.3608,19923.74,0,509,30900,0,6.8099999,197320,23.304899
283,Misty Rogers,245-549-111,05-05-2020,42100,55677,27205,04,43,1,2,37932.273,25366.479,3,647,35500,0,6.5900002,185936,45.915993
284,Michael Horton,444-533-603,06-05-2020,66000,87284,87284,03,44,0,2,107701.83,100724.6,0,899,46800,0,6.9299998,194657,93.036545
285,Sean Padilla,190-016-695,03-04-2020,42400,56073,30130,02,26,0,2,41329.793,36912.16,0,568,39900,0,7.3200002,204303,50.032116
286,Melanie Stevenson,181-397-787,05-03-2020,42500,56206,17920,03,31,1,2,22023.324,29284.348,0,518,34500,0,6,198586,35.945583
287,Nellie Haynes,824-147-213,04-01-2020,42400,56073,56073,02,28,1,2,41712.719,53167.078,1,613,43100,33400,6.3299999,163363,49.647552
288,Myra Torres,846-986-686,07-04-2020,43600,57660,18779,01,34,1,2,15187.771,26495.102,0,551,46400,0,6.6999998,195626,32.50679
289,Cedric Wilkerson,226-670-348,04-07-2020,44100,58322,58322,02,34,0,2,58016.141,68750.133,0,624,43000,156200,6.6300001,182645,60.23658
290,Danny Gordon,768-353-288,04-06-2020,46900,62025,62025,05,41,1,2,76846.25,98183.484,1,777,34400,0,6.8800001,210854,71.292892
291,Danielle Goodman,419-743-318,06-03-2020,45200,59776,59776,04,32,1,2,71763.523,66899.305,1,728,39600,0,6.8699999,190300,68.670296
292,Elbert Goodwin,130-562-838,05-02-2020,49000,64802,49730,03,36,1,2,70687.07,58165.645,1,759,53000,0,6.2800002,195421,68.631805
293,Fred Neal,721-983-770,07-03-2020,42200,55809,14131,04,40,1,2,18327.082,37424.328,3,543,57000,0,6.7399998,195816,32.737297
294,Joyce Mcdaniel,365-405-520,04-03-2020,43400,57396,27688,05,39,1,3,55717.383,43797.469,1,668,48700,142800,6.3299999,213480,57.299988
295,Adam Leonard,687-403-556,06-02-2020,44100,58322,37001,01,33,0,3,56432.922,48169.543,0,685,49100,49700,6.8200002,176221,60.43634
296,Ben Rhodes,898-387-522,05-07-2020,44500,58851,26741,02,26,0,2,60890.586,62355.895,0,581,39200,0,6.29,200107,62.672447
297,Joanna Hicks,464-126-542,04-05-2020,42700,56470,20752,05,29,1,2,30380.061,50752.508,2,553,37100,66900,6.2399998,192391,40.475754
298,Erica Burton,750-628-854,05-07-2020,44700,59115,59115,01,36,0,2,57533.684,81231.953,0,641,31000,35300,6.23,201688,61.299778
299,Jermaine Wilkins,955-406-271,06-07-2020,42500,56206,36730,05,30,1,2,46771.203,11462.009,0,656,37200,90600,6.8099999,164081,50.886093
300,Kristina Coleman,915-451-496,04-03-2020,41800,55280,20551,03,36,0,2,29255.729,62723.348,0,586,44800,221000,6.4000001,200072,40.559086
301,Lena Carter,707-874-141,05-03-2020,45700,60438,16849,03,36,1,2,6296.1982,18759.529,3,501,53600,74400,6.3499999,183738,25.676842
302,Frank Santiago,713-450-603,08-03-2020,48700,64405,64405,01,35,0,2,69292.273,41684.145,0,754,43800,26600,6.4699998,181125,68.770744
303,Kara Sandoval,051-232-626,07-02-2020,42400,56073,12284,03,26,0,3,10436.043,1276.8467,0,445,47600,0,6.6700001,178698,28.440229
304,Henrietta Nunez,777-059-312,05-06-2020,43200,57131,29556,03,37,1,2,51604.004,57835.199,1,652,57600,69600,6.3800001,189252,55.517998
305,Kevin Bass,801-392-916,06-04-2020,41600,55015,24070,04,34,1,2,16843.385,20138.869,2,559,41000,3900,6.6399999,190705,31.343365
306,Elisa Carpenter,830-836-924,07-04-2020,42500,56206,56206,04,37,1,2,45141.547,20824.391,3,636,43800,61800,6.2399998,172317,50.495354
307,Jackie Lawrence,358-913-631,09-02-2020,44000,58189,58189,05,30,0,3,60542.188,90955.789,0,656,36400,0,6.5799999,200372,60.068722
308,Marcus Myers,920-687-675,06-04-2020,46700,61760,61760,03,35,0,2,62808.242,74770.461,0,657,39600,109200,6.4899998,189853,63.098076
309,Fred Castro,990-296-629,07-02-2020,41800,55280,25460,03,37,1,2,35859.207,23821.592,1,602,31000,75700,7.0700002,177323,45.180603
310,Julius Haynes,219-780-811,07-06-2020,42500,56206,56206,04,28,1,2,45285.242,15045.484,1,614,45400,87500,6.3000002,170594,50.945438
311,Greg Hunt,254-784-012,07-02-2020,45300,59909,59909,02,38,0,2,63838.012,60365.824,0,714,44000,74700,6.71,171188,64.482613
312,Spencer Jensen,624-276-045,03-01-2020,49400,65331,50801,03,33,1,2,74507.609,67853.336,1,732,51600,35100,7.0700002,198578,70.685387
313,Jackie Johnston,882-114-797,06-07-2020,46100,60967,60967,05,26,1,2,63796.855,87620.656,2,609,50100,71500,6.7800002,212064,62.513832
314,Tiffany Mendez,484-423-086,06-01-2020,42700,56470,56470,02,34,1,2,44869.301,59650.457,2,693,47300,2700,6.3800001,164134,51.662693
315,Santiago Mcgee,628-723-811,04-06-2020,42800,56602,21754,04,32,1,2,48095.199,50895.566,1,566,37000,32900,6.4400001,202130,53.132267
316,Sam Mckenzie,209-031-895,06-03-2020,43800,57925,42772,02,43,0,2,60669.156,81651.508,0,767,50100,0,6.9099998,193172,62.529472
317,Janice Kennedy,770-435-686,01-07-2020,42300,55941,30545,05,37,1,2,42980.738,33971.367,3,620,39600,0,7.6900001,176485,48.413853
318,Bert Lloyd,572-956-968,05-02-2020,44300,58586,36557,04,35,0,3,57322.75,46938.887,0,675,39200,8200,6.21,189976,58.981155
319,Fannie Dennis,401-256-590,05-07-2020,42400,56073,29391,02,32,0,2,42040.016,20633.785,0,640,47800,0,6.2600002,194246,49.842945
320,Tony Meyer,820-736-681,04-03-2020,43000,56867,56867,01,34,1,2,47932.543,45510.371,2,651,58600,0,6.48,210490,54.362419
321,Mattie Paul,045-099-404,06-06-2020,46900,62025,20851,04,33,0,2,13846.321,0,0,543,50500,56300,6.6999998,191994,29.547052
322,Traci Farmer,318-980-125,07-03-2020,42000,55544,55544,02,32,0,2,35587.863,39448.867,0,568,40700,76500,6.4200001,214666,45.820042
323,Rosa Jenkins,576-934-587,05-06-2020,42300,55941,55941,02,38,1,1,41009.414,57051.219,1,650,34000,0,6.6700001,200403,49.169376
324,Darin Love,429-706-772,04-01-2020,42800,56602,56602,05,33,1,2,49170.738,42933.379,0,672,23800,28900,6.4000001,186828,52.813839
325,Priscilla Hudson,010-060-863,03-07-2020,42400,56073,25471,01,37,0,2,41151.926,37525.531,0,625,44800,85400,7,178123,50.254021
326,Miriam Richards,927-835-347,05-06-2020,42500,56206,56206,01,33,1,2,26965.477,43110.66,2,552,41000,0,6.4499998,203106,40.813122
327,Eric Zou,007-574-359,07-03-2020,42700,56470,16102,02,32,0,2,15631.271,23302.27,0,533,45000,0,6.8099999,188572,32.20676
328,Jorge Gray,993-394-158,07-06-2020,43300,57264,31991,03,32,0,2,51705.805,51002.176,0,625,39800,0,6.77,186096,55.722462
329,Leslie Robertson,905-140-496,04-03-2020,42700,56470,28035,04,33,0,2,46830.359,74225.383,0,641,48000,158400,6.6199999,188016,51.941238
330,Omar Thornton,935-419-773,08-05-2020,42500,56206,56206,02,36,1,2,43678.922,68022.844,1,605,42400,0,6.21,198255,50.992405
331,Kelli Gordon,288-388-330,08-04-2020,44200,58454,58454,05,35,1,2,72573.453,61004.07,2,688,37900,0,6.3800001,192823,68.354568
332,Gertrude Matthews,933-192-735,06-02-2020,45300,59909,17533,01,37,0,3,7741.1685,8395.3525,0,541,37100,23100,6.4000001,192226,28.018309
333,Bob Waters,716-853-370,05-02-2020,44300,58586,37834,05,33,0,2,63287.199,77934.086,0,648,52100,0,6.0300002,176097,62.070278
334,Tracy Stephens,859-858-799,06-04-2020,44600,58983,58983,04,37,1,2,71332.75,89330.328,1,711,57100,78400,6.4699998,198981,68.780579
335,Corey Ortiz,062-502-196,05-07-2020,60700,80275,80275,03,43,0,1,95597.813,66717.805,0,833,54200,0,6.2399998,197292,85.062202
336,Carlton Anderson,909-759-924,06-03-2020,49400,65331,17478,01,34,1,2,2903.1362,23280.266,1,501,28200,0,6.71,214269,24.62841
337,Dianna Schultz,887-268-280,07-06-2020,44500,58851,28891,04,36,1,1,20058.982,24537.895,3,602,28100,28400,6.5100002,178259,33.946754
338,Paul Cole,070-133-406,04-04-2020,42500,56206,21677,02,30,0,2,10596.899,0,0,537,33700,59300,6.7399998,196221,28.868294
339,Floyd Marshall,624-420-290,01-04-2020,45700,60438,60438,01,31,1,3,67790.492,57604.066,3,665,49300,0,8.0500002,196557,68.022041
340,Ignacio Rios,794-404-286,08-03-2020,70800,93632,93632,02,43,1,3,0,0,3,509,27500,0,6.5,206590,16.556005
341,George Parsons,130-825-420,05-04-2020,42300,55941,25203,04,30,0,1,42828.367,46592.871,0,605,36900,0,6.5,168951,49.299549
342,Denise Mendoza,145-537-473,04-06-2020,44600,58983,31372,01,28,0,2,61964.848,49782.68,0,599,47800,4000,6.54,184791,64.053894
343,Arturo Barrett,075-341-890,06-06-2020,42300,55941,19490,02,23,0,1,28783.535,50520.508,0,538,41100,19900,6.75,160821,40.989975
344,Sheryl Ruiz,695-011-312,06-01-2020,46300,61231,42485,02,36,1,2,73059.938,61920.074,0,733,51100,0,6.7399998,204753,70.659737
345,Dave Spencer,893-735-446,08-06-2020,41700,55148,15727,02,37,0,2,19155.529,22161.176,0,556,46000,29200,6.3299999,177221,34.576138
346,Angie Holt,904-315-377,06-06-2020,43900,58057,58057,02,38,0,2,54978.445,61178.375,0,677,34100,0,6.8099999,186420,58.653782
347,Jermaine Cobb,112-791-142,04-05-2020,44400,58718,58718,04,33,1,2,62998.254,59769.613,1,672,42800,0,6.5300002,186458,62.317341
348,Norma Chandler,908-172-753,04-06-2020,41800,55280,55280,02,28,0,2,29527.824,22027.848,0,523,38300,0,6.5599999,192110,41.737839
349,Gregg Newman,359-651-379,06-07-2020,43400,57396,10778,04,37,0,3,9811.0068,0,0,522,47300,0,6.8499999,178254,27.213249
350,Patricia Snyder,506-385-718,04-07-2020,46100,60967,19878,04,38,1,2,8757.7432,19214.373,0,544,37400,82200,6.6399999,200263,26.522524
351,Wendy Harmon,141-436-613,06-05-2020,42400,56073,56073,01,31,1,2,40541.504,34491.746,3,559,54900,0,6.5999999,168587,49.850796
352,Frederick Moss,885-599-785,05-03-2020,42300,55941,55941,01,42,1,2,24920.174,36024.805,2,601,36300,0,6.0900002,196510,39.311378
353,Claire Gilbert,480-443-820,08-07-2020,42400,56073,23951,02,38,0,2,41678.504,52659.215,0,604,41400,189000,6.3400002,197074,49.869366
354,Angelo Jefferson,133-565-998,06-07-2020,43400,57396,36576,03,33,1,2,53175.367,82453.531,1,672,49900,0,6.7399998,215236,56.779526
355,Laura Webb,299-945-054,06-05-2020,42200,55809,55809,04,23,0,3,36608.297,20527.83,0,544,45800,160700,6.6700001,194510,45.114639
356,Helen Chapman,112-498-126,03-03-2020,42400,56073,12411,04,22,1,2,27808.359,26308.203,2,488,49000,0,6.8800001,189986,39.199829
357,Felicia Mullins,520-253-750,08-01-2020,42000,55544,19447,04,36,1,3,18405.334,21226.377,1,574,39600,59000,6.5,189367,33.087044
358,Shirley Colon,190-254-359,07-06-2020,45300,59909,23120,04,34,0,1,18999.668,0,0,556,50000,0,6.3400002,185013,33.231892
359,Tracey Simpson,531-565-089,06-02-2020,41900,55412,29859,01,32,0,2,28402.379,65507.699,0,613,54800,79600,6.8600001,227137,41.931831
360,Ismael Davis,102-162-760,04-03-2020,42200,55809,24213,04,25,1,2,33281.137,50135.527,0,524,44300,61700,6.6599998,212343,43.212341
361,Eleanor Washington,626-570-682,04-02-2020,42800,56602,21844,02,36,0,2,19216.75,0,0,579,36100,0,6.8000002,177733,34.914299
362,Tasha Howell,237-075-239,06-04-2020,41800,55280,28224,01,31,0,2,32605.406,37457.207,0,583,29200,6600,6.6700001,198948,43.960976
363,Conrad Gibbs,250-551-258,05-06-2020,44700,59115,13356,02,34,0,2,15919.409,21427.463,0,514,52500,96300,6.3000002,171159,32.454651
364,Leroy Wood,522-495-302,03-07-2020,48100,63612,55376,05,40,1,2,88604.844,72991.398,2,807,47800,65600,7.0599999,191593,78.663284
365,Doreen Reeves,058-828-632,03-07-2020,42100,55677,18004,05,33,1,2,37350.691,52892.066,3,561,42700,189900,6.9099998,204282,44.940975
366,Betsy Walton,657-097-451,10-03-2020,42200,55809,23624,04,27,1,3,25228.08,24016.43,2,557,22900,0,5.8699999,222074,37.320232
367,Martha Simon,677-755-991,07-02-2020,42900,56735,20234,03,26,1,2,29684.807,32885.063,3,494,68200,0,6.8800001,185155,40.8228
368,Homer Oliver,351-486-892,03-06-2020,42100,55677,23818,04,33,1,2,34664.453,39939.453,2,562,50900,0,7.1100001,198012,43.778477
369,Penny Patrick,980-113-492,02-01-2020,42600,56338,56338,02,35,1,2,23058.961,54111.848,0,552,12200,156200,7.1399999,186974,37.342804
370,Virginia Fletcher,013-309-543,07-07-2020,41700,55148,22263,05,30,1,2,32339.836,31019.439,0,566,36200,73600,6.5500002,187849,41.755154
371,Robert Larson,087-150-572,08-02-2020,43400,57396,29348,02,28,0,2,24848.896,35418.184,0,587,36000,93000,6.4499998,204410,38.6838
372,Joann Gomez,481-916-576,05-02-2020,47800,63215,63215,05,36,0,2,72432.859,54116.859,0,683,45800,113800,6.3800001,195141,68.250641
373,Dwayne Flores,628-017-234,08-04-2020,43500,57528,57528,02,36,0,2,16815.098,23523.303,0,568,37300,77100,6.54,169750,33.163906
374,Joyce Robbins,771-733-591,08-02-2020,42000,55544,26006,03,32,0,2,31085.721,10824.793,0,595,33700,0,6.3000002,211037,41.865677
375,Keith Craig,619-962-188,04-05-2020,46100,60967,60967,05,40,0,2,66017.859,71375.609,0,704,43000,0,6.3699999,188299,63.947861
376,Marlon Perez,851-897-995,08-07-2020,51800,68505,68505,02,33,0,2,79468.023,63666.043,0,709,44100,105000,6.1199999,172977,74.473763
377,Phillip Harrington,993-465-528,07-05-2020,43800,57925,33620,02,45,1,2,53055.215,41840.914,1,733,50800,7400,6.8600001,155536,57.211357
