id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
462,Damon Rose,992-345-209,10-04-2020,40800,53957,04,39,0,3,16272.134,11263.442,0,579,44300,21900,5.98,186255
463,Sandy Hopkins,144-356-318,05-01-2020,43200,57131,01,38,0,2,48406.867,62889.043,0,704,40200,0,6.3800001,176272
464,Erin Snyder,102-580-393,06-02-2020,49800,65860,04,37,1,1,75380.57,94554.523,2,728,41000,169700,6.8600001,182346
465,Lola Summers,445-018-011,04-07-2020,45100,59644,02,37,1,2,58390.543,4507.2827,1,666,57000,0,6.4000001,199570
466,Terrance Schultz,503-601-143,01-03-2020,44100,58322,04,46,1,2,69288.258,62165.855,2,770,38300,0,7.27,184315
467,Tami Mason,925-060-804,06-07-2020,42300,55941,02,38,0,1,30586.842,28315.729,0,600,46200,0,6.5799999,179018
468,June Wilkerson,646-530-229,08-07-2020,42600,56338,01,33,1,1,43389.715,63968.605,1,612,48800,0,6.5799999,199079
469,Eileen Farmer,228-587-269,03-06-2020,46700,61760,04,32,1,3,66374.102,70863.938,2,718,44100,3600,7.1100001,167482
470,Joanne Ball,759-371-795,07-02-2020,49400,65331,03,39,1,2,76579.641,67817.625,0,745,54100,0,6.5599999,208732
471,Kelly Reed,925-817-677,08-04-2020,43300,57264,05,34,1,3,56900.383,57337.273,1,657,38400,0,6.4899998,179217
472,Rafael Mcgee,205-311-945,08-01-2020,44100,58322,04,28,1,2,58533.961,46838.086,3,639,38600,0,6.21,161451
473,Roger Richardson,361-665-661,05-07-2020,44800,59247,03,37,1,2,68349.688,65856.891,0,746,34300,0,6.2600002,174435
474,Dewey Griffith,576-641-173,07-07-2020,43200,57131,04,38,1,1,26445.357,33116.332,0,637,50800,53200,6.5500002,213420
475,Melody Rodriguez,484-264-078,07-01-2020,44100,58322,04,36,1,2,57713.48,57539.082,2,706,31300,0,6.5300002,207464
476,Bobby Harmon,734-764-710,05-07-2020,44400,58718,05,37,0,2,57161.262,66644.719,0,659,50500,0,6.04,177626
477,Muriel Owen,025-262-439,03-07-2020,46900,62025,02,32,0,1,13270.002,17027.209,0,539,53100,120400,6.9699998,185098
478,Jimmie Hogan,537-491-245,03-02-2020,42100,55677,03,36,1,2,36294.988,51399,3,603,49400,82000,7.3099999,205579
479,Thomas Barton,646-672-677,04-03-2020,42700,56470,01,39,1,2,45052.48,45633.355,1,636,48700,23000,6.25,163088
480,Carrie Jenkins,862-250-338,08-04-2020,42500,56206,01,34,0,2,41695.918,45845.875,0,605,35200,96900,6.4099998,200479
481,Kendra Pierce,179-356-244,06-02-2020,61100,80804,03,32,1,2,0,0,2,499,29000,0,6.6599998,208532
482,Blanche Diaz,978-644-354,09-02-2020,46700,61760,01,41,1,2,9721.6377,34142.305,1,548,46400,0,5.8800001,178405
483,Wallace Drake,224-069-380,05-01-2020,41800,55280,03,30,1,2,30180.852,30718.916,1,659,43900,125500,6.0300002,196742
484,Cindy Austin,192-390-753,04-06-2020,43700,57793,05,38,1,2,54930.258,22866.703,1,674,62500,72300,6.3800001,194224
485,Christopher Rice,573-737-153,07-03-2020,41900,55412,03,39,0,2,35911.211,22306.525,0,618,43400,4800,6.52,186789
486,Joy Woods,096-663-366,08-03-2020,52000,68769,05,37,0,2,102572.17,94473.594,0,853,47800,50900,6.3400002,193105
487,Spencer Hayes,585-427-131,05-06-2020,42400,56073,05,33,0,2,44291.242,37640.754,0,587,42100,1900,6.3499999,183597
488,Johnnie Collins,010-237-352,08-04-2020,43400,57396,04,36,1,2,18626.971,30584.295,2,539,56200,67100,6.4400001,184616
489,Harvey Peters,328-385-262,07-04-2020,45800,60570,05,35,0,2,77537.547,55471.227,0,715,45900,0,6.6399999,204517
490,Ginger Howard,256-200-090,08-03-2020,42700,56470,01,41,0,2,43820.055,52259.242,0,675,55600,0,5.9200001,184255
491,Owen Poole,716-866-896,05-07-2020,45100,59644,01,34,1,2,60425.918,54256.762,3,618,54600,0,6.3899999,208813
492,Calvin Brooks,581-700-420,05-05-2020,41600,55015,05,39,0,2,34654.355,47760.922,0,608,44300,71400,6.3600001,196148
493,Pete Carlson,431-278-570,07-02-2020,42400,56073,05,35,1,2,44165.652,35115.895,2,634,51900,5200,6.3699999,211594
494,Hector Ramirez,227-223-539,07-03-2020,42100,55677,01,37,1,2,32976.914,34361.949,3,629,32900,0,6.2800002,180778
495,Micheal Frazier,490-470-562,11-01-2020,46600,61628,01,41,0,3,6549.167,11278.734,0,607,53000,0,6.3200002,184360
496,Ronnie Newman,768-306-388,02-05-2020,42200,55809,04,39,1,2,35773.648,25434.842,1,601,43400,141300,7.25,200621
497,Archie Daniel,820-254-588,05-03-2020,52400,69298,04,36,0,2,74211.445,76375.906,0,742,61200,0,6.0999999,192910
498,Beulah Malone,959-014-611,02-04-2020,41500,54883,05,38,0,2,26587.006,29072.369,0,558,45000,0,6.9499998,182325
499,Joanna Douglas,737-813-320,07-06-2020,50000,66124,03,38,1,2,9664.0479,33307.941,3,534,50500,115700,6.4899998,189118
500,Joseph Estrada,819-930-258,03-01-2020,42200,55809,01,38,0,2,37731.621,40642.492,0,588,57400,140600,6.8299999,182363
